,episode1,episode60,episode120,episode180,episode240,episode300,episode360,episode420,episode480,episode540,episode600,episode660,episode720,episode780,episode840,episode900,episode960,episode1020,episode1080,episode1140,episode1200
problem13,87125.665483,88560.125431,88040.237446,80176.131096,79683.806667,67154.712668,68428.750136,45597.779540,45729.889077,41785.347145,42364.433044,47051.696122,48771.328475,44394.115568,45779.772455,41226.044161,42518.196404,41287.538025,40680.952627,39949.434451,40015.901991
problem14,1579.132146,1633.121270,1648.337936,1363.405173,1324.378204,1090.843347,1077.298379,699.759651,705.201373,649.803853,657.162748,661.380645,634.507060,657.325455,653.325001,639.915909,674.927396,665.301698,633.082865,630.636870,662.035593
problem15,44837.090307,44520.153808,44860.313407,39412.961020,38557.854450,32294.283653,31965.466710,28030.811704,27809.554817,32561.874524,32826.472574,35922.507170,37268.151809,33701.375915,33028.857854,28361.885820,28183.540422,28451.294565,26968.491445,31013.567236,28914.474161
problem16,1895.411713,1913.477563,1842.891842,1828.464938,1867.899271,1746.056907,1775.442410,1496.830565,1502.850385,990.318693,1017.641996,873.608738,876.045459,955.443095,937.644068,930.241617,945.771119,945.939344,1021.861294,976.313229,1054.371002
problem17,410.253278,404.127629,407.346593,383.154984,384.338262,322.642127,314.464983,257.942712,259.407362,278.011969,288.859027,293.533515,283.431213,281.737932,281.256511,275.145228,275.291940,253.257028,260.902925,274.608313,271.824476
problem18,1549.629263,1512.611802,1534.085486,1419.177347,1415.354087,1167.853489,1174.722575,947.773487,932.344743,1017.277871,1064.151299,1076.006833,1054.126996,1045.073674,1054.333590,1033.916533,1021.327185,925.732831,971.451064,1030.804110,1004.684319
problem19,300.136802,296.992610,304.124354,295.841352,292.721749,289.984575,288.915410,287.395863,278.810681,277.583961,271.260375,229.796705,224.683552,237.166380,243.261534,241.195200,246.119581,220.849440,228.839527,215.015652,218.679121
problem20,419132.523591,447455.712216,411459.878174,326536.496247,329716.750578,145228.784093,162964.402737,84141.093347,87808.616755,79798.857455,79738.208062,83619.564686,79257.650232,75404.530580,81294.181321,81740.293413,86218.163650,84003.987027,84488.195205,83131.758409,85862.750137
problem21,2748.886445,2794.182887,2773.134813,2543.453821,2576.466573,1979.968845,1896.715776,937.763297,981.814583,867.635221,870.527663,867.144333,834.187133,878.140399,853.132982,840.834532,830.990954,846.183826,818.259692,813.503272,827.805168
problem22,3072.716935,3064.694946,3064.588708,2969.136285,2946.066302,2579.363640,2617.354043,1767.129989,1755.302553,2000.821416,1976.528454,2562.149547,2559.389720,2038.248335,1965.610281,1694.618253,1689.095420,1652.948010,1706.792103,1699.049633,1714.743200
problem23,261.413992,258.044032,258.330102,246.873013,257.928680,244.096485,234.180018,234.822643,231.125403,238.930549,228.386134,221.795050,221.896376,185.478347,182.234682,190.026625,197.460890,167.775523,167.263123,160.195126,164.347291
problem24,23014.698966,22624.098852,22967.690436,22423.000184,22489.934244,21128.788377,21284.416387,18306.435539,18248.116253,18419.167809,18212.317387,17046.208210,17048.709056,16884.343140,17197.553230,17473.807897,17210.770484,17709.082788,17604.995479,16736.101532,17096.309567
