,episode1,episode60,episode120,episode180,episode240,episode300,episode360,episode420,episode480,episode540,episode600,episode660,episode720,episode780,episode840,episode900,episode960,episode1020,episode1080,episode1140,episode1200
problem11,1441947.106996,1393012.083296,1412441.384241,1469084.919740,1375784.583796,1444810.221694,1463911.072773,1433263.482746,1395651.710215,1460883.218439,1403466.960108,1432588.816985,1454976.216796,1427803.653639,1426384.659186,1407838.381637,1430669.566705,1377270.569906,1415004.150173,1428631.200086,1407603.371284
problem12,5922855118.897532,5857016793.270395,5964015101.145247,4974838311.242250,4900760059.846111,3443304903.763536,3251624516.777776,1978966702.100195,1960971778.987086,1926635627.992627,1883150971.665102,1818622831.716337,1805599631.109921,1777500990.986635,1884232854.754742,1842416656.619749,1798346077.049188,1758748311.794282,1869227004.145277,1781816763.800629,1836193850.289269
problem13,85806.082364,86928.129859,87173.831173,80549.742560,80735.238797,67416.920097,68291.412440,51634.622613,52026.528882,46016.586875,44746.585945,44975.934021,43147.837257,42465.871062,42260.521063,41859.404491,42439.741573,41721.969192,41968.715849,42393.122715,42334.390901
problem14,1598.987883,1655.667941,1647.011464,1371.826892,1367.288886,1045.726537,1083.168643,804.665733,765.293978,655.506041,655.279876,678.178859,674.010146,769.606872,750.929683,650.127651,653.640195,628.655719,635.689046,625.361165,639.156430
problem15,44154.243833,44214.192844,44149.853539,40589.075354,39797.261583,33055.464487,33735.201382,27126.468769,27495.122455,32213.386595,31447.176396,31591.918677,30479.397268,28434.781792,28239.900103,26677.998851,26674.683660,26713.987359,26332.186748,30712.027745,30591.481394
problem16,1829.640458,1806.219509,1869.839805,1817.051027,1817.974139,1768.704409,1782.188756,1430.131110,1422.766954,923.143681,937.782191,930.857858,899.716890,821.007210,888.079591,957.841615,993.917232,991.024753,923.235258,945.945891,1063.060186
problem17,407.669599,412.887576,404.121324,387.759883,391.801430,324.854002,327.757498,276.760943,267.984766,286.233791,284.751519,280.666938,284.330026,278.743751,286.137933,286.869715,276.640053,290.832226,293.333910,288.302849,287.156825
problem18,1506.456985,1521.330021,1559.409875,1450.391857,1397.201999,1218.332595,1227.652292,973.279006,975.823375,1075.852182,1065.899764,1086.575487,1096.170382,1018.624776,1001.479574,1014.115773,1013.754726,979.538684,994.323131,980.160462,926.745086
problem19,295.071924,299.148807,298.748846,290.364604,298.808950,290.444435,293.612093,290.486248,286.275190,279.908533,274.598339,248.512930,247.830150,214.330443,213.112698,229.470969,231.978390,260.899732,260.064564,233.977109,236.405674
problem20,467482.943592,369452.091258,380863.734993,300227.934503,305607.638477,160262.792799,142762.034165,88813.979636,83568.485780,86819.798907,81920.040181,79884.303136,88317.344064,81338.431320,89720.217173,87918.606451,85514.485291,78101.154373,80121.428177,85390.590750,85983.044764
problem21,2802.190524,2762.579251,2771.200205,2561.170026,2631.708761,1935.989394,1854.840733,897.616253,898.058941,855.179964,859.299387,843.274685,849.267078,827.487692,848.373747,823.699508,828.425312,890.229269,866.107793,825.664641,903.139295
problem22,3089.424796,3074.220039,3058.974835,2945.937013,2928.205164,2571.946132,2564.106674,1743.160738,1727.453762,1774.928455,1820.481696,1949.165212,1895.937294,1696.740014,1722.410046,1661.760768,1639.961729,1592.905925,1632.976812,1611.809730,1638.387056
problem23,260.099126,265.895260,264.623059,255.030387,251.255672,240.674424,249.015178,241.837942,237.826685,213.313095,224.094431,209.267449,213.946191,232.532594,232.764500,214.488704,210.590505,180.335875,183.659958,159.225805,161.433648
problem24,22692.028102,22881.627641,22795.032483,22096.061810,22549.511533,21465.470121,21504.381149,18320.832631,18148.768214,18769.502944,18973.190041,17280.460230,17362.777181,17498.929973,18435.377714,17448.425031,17606.550739,17194.101269,17373.913591,17447.575744,16489.207047
