,episode1,episode60,episode120,episode180,episode240,episode300,episode360,episode420,episode480,episode540,episode600,episode660,episode720,episode780,episode840,episode900,episode960,episode1020,episode1080,episode1140,episode1200
problem11,123005.912526,132082.454892,101809.887336,115047.954397,117863.911205,102465.097431,135298.747773,120120.999791,126096.087997,96694.428802,128178.783095,140869.736239,141248.723688,114660.242239,182111.186673,129753.575114,100001.447941,120649.951458,172353.323705,104545.084865,126898.197784
problem12,165361283.277403,159125043.513152,195015357.510707,268207900.346085,268817348.044246,592358136.269575,561781285.368553,1042150728.643005,1105053287.842961,1514051498.050656,1562211485.867751,1572443036.693170,1564309778.232575,1494736295.401116,1532931367.924630,1443926839.340464,1452653244.838928,1457748266.555714,1499260256.003561,1483200090.647296,1495102849.333337
problem13,1144.981878,1150.680720,1207.421613,2069.753491,2219.743452,4989.024980,4476.374334,11607.734863,12725.518220,28735.004120,28912.805512,29097.311494,29532.185421,29263.493839,28887.439023,28318.558148,29209.546502,29075.744235,28403.695764,27690.239290,28740.760261
problem14,78.951369,70.774701,79.516916,112.271580,118.427810,187.435201,197.548698,481.440385,498.157395,547.388268,550.992106,519.470826,548.981605,525.249459,520.104591,522.711403,510.612492,509.351667,511.269662,513.892027,505.428815
problem15,1158.895729,1257.892755,1197.353618,2079.529613,2346.370330,3821.078825,3790.442461,7950.856241,7852.181028,9861.200223,9496.043089,11293.675107,11038.579700,8689.313943,8697.870996,11301.631791,10923.596535,12776.465256,12574.689524,11731.146167,12329.173539
problem16,26.140301,20.221455,19.104689,30.810483,19.861850,64.107245,56.249820,590.744672,543.642596,538.765191,537.645879,464.448798,476.113880,583.956660,591.127530,531.713343,547.741311,424.145692,441.609111,477.625184,457.038773
problem17,4.718974,5.601819,5.486906,7.926710,8.474813,23.033615,22.196918,107.597224,107.575816,88.452965,88.762682,85.077582,83.842569,74.640994,76.785502,75.413285,78.674630,79.685320,79.773401,66.023764,65.586827
problem18,20.889333,19.885820,25.927594,39.082626,41.779992,76.641477,80.513145,283.820322,302.197878,359.147093,371.511773,297.437673,294.547640,221.552211,231.426184,271.641945,271.404087,333.223824,345.742364,293.648260,292.174939
problem19,0.232367,0.291708,0.336819,0.334946,0.166499,0.700993,0.465538,8.053309,12.411109,38.095561,34.220259,115.796743,113.789812,94.943364,104.844714,108.202724,108.778149,113.256285,110.309481,107.554452,108.574040
problem20,17954.055358,20658.260593,18631.363315,25060.214029,24772.710836,43025.470760,44357.787930,59137.175607,55423.901069,53960.997040,50672.236888,59614.664418,53530.058214,54423.792587,56909.865532,51933.012867,52298.389548,58302.018636,58536.623789,51123.592151,52762.213710
problem21,18.720215,23.163946,22.281574,46.410304,37.810804,190.229581,213.961869,792.822006,789.273150,755.049280,759.629563,741.751324,747.233827,726.601694,748.754580,723.504176,728.613763,740.920601,746.911584,717.652732,770.051090
problem22,16.236160,15.599420,16.233204,33.555610,36.937507,141.843420,137.365670,737.828178,737.258352,904.345617,888.670048,933.520017,911.250332,847.173095,813.378677,828.449997,826.873285,802.494612,869.508190,853.481771,871.251761
problem23,3.370849,4.466640,3.537727,5.073523,4.918430,8.925511,10.038890,22.142599,24.343384,44.765164,33.001069,125.695694,124.490893,131.340717,127.360900,131.279204,129.345542,128.145776,121.145078,114.526340,122.667444
problem24,15.745655,5.357102,8.639619,24.974206,39.533043,302.838947,327.049420,2667.706677,2804.398118,4216.894585,4169.380301,5567.803986,5868.088156,5638.388457,5768.579679,5552.902156,5197.310874,5583.527938,5476.779424,5144.671861,5293.489050
